Coach,Win Percent,Season,Record,Team,Sport
Briana Banks,.333,2011-12,6-12,Roanoke,Field Hockey
Briana Banks,.235,2012-13,4-13,Roanoke,Field Hockey
Briana Banks,.188,2013-14,3-13,Roanoke,Field Hockey
Briana Banks,.421,2014-15,8-11,Roanoke,Field Hockey
Peter McGahey,.848,2012-13,17-1-5,Minn. St. Mankato,Womens Soccer
Peter McGahey,.425,2013-14,8-11-1,Central Mich.,Womens Soccer
Peter McGahey,.368,2014-15,6-11-2,Central Mich.,Womens Soccer
Peter McGahey,.000,2015-16,0-0,Central Mich.,Womens Soccer
Matt Watts,.425,2012-13,8-11-1,Delta St.,Mens Soccer
Matt Watts,.583,2013-14,10-7-1,Ala.-Huntsville,Mens Soccer
John Kerr,.000,2015-16,0-0,Duke,Mens Soccer
John Kerr,.643,1924-25,9-5,San Francisco,Baseball
Lizzy Stemke,.367,2011-12,11-19,Georgia,Womens Volleyball
Lizzy Stemke,.467,2012-13,14-16,Georgia,Womens Volleyball
Lizzy Stemke,.688,2013-14,22-10,Georgia,Womens Volleyball
Lizzy Stemke,.452,2014-15,14-17,Georgia,Womens Volleyball
Lizzy Stemke,.000,2015-16,0-0,Georgia,Womens Volleyball
Matt Watts,.294,2011-12,5-12,Delta St.,Mens Soccer
Raymond Monica,.455,2013-14,5-6,Arkansas Tech,Football
Heather Mazeitis,.500,2012-13,16-16,La.-Lafayette,Womens Volleyball
Kat Conner,.474,2013-14,8-9-2,Texas St.,Womens Soccer
Brenda Gray,.600,2014-15,18-12,Sam Houston St.,Womens Volleyball
Brenda Gray,.607,2013-14,17-11,Sam Houston St.,Womens Volleyball
Brenda Gray,.656,2012-13,21-11,Sam Houston St.,Womens Volleyball
Brenda Gray,.581,2011-12,18-13,Sam Houston St.,Womens Volleyball
Ellen Maruszewski,.000,2015-16,0-0,Rivier,Field Hockey
Mike Swider,.800,2011-12,8-2,Wheaton (IL),Football
Mike Swider,.800,2012-13,8-2,Wheaton (IL),Football
Raymond Monica,.000,2015-16,0-0,Arkansas Tech,Football
Raymond Monica,.273,2014-15,3-8,Arkansas Tech,Football
Paco Labrador,.844,2012-13,27-5,Wittenberg,Womens Volleyball
Paco Labrador,.735,2013-14,25-9,Wittenberg,Womens Volleyball
Jack Hatem,.600,2014-15,6-4,Denison,Football
Jack Hatem,.000,2015-16,0-0,Denison,Football
Jack Hatem,.400,2012-13,4-6,Denison,Football
Jack Hatem,.700,2013-14,7-3,Denison,Football
Forrest Wimberly,.000,2015-16,0-0,Emmanuel (GA),Womens Soccer
Jack Hatem,.500,2011-12,5-5,Denison,Football
Marci Scheuing,.412,2013-14,7-10,Kutztown,Field Hockey
Paco Labrador,.879,2014-15,29-4,Wittenberg,Womens Volleyball
Paco Labrador,.000,2015-16,0-0,Wittenberg,Womens Volleyball
Jennifer Averill,.438,1991-92,7-9,Bucknell,Womens Lacrosse
Scott Fridley,.395,2011-12,7-11-1,Anderson (IN),Mens Soccer
Scott Fridley,.477,2012-13,10-11-,Anderson (IN),Mens Soccer
Scott Fridley,.526,2013-14,10-9,Anderson (IN),Mens Soccer
Scott Fridley,.525,2014-15,10-9-1,Anderson (IN),Mens Soccer
Scott Fridley,.000,2015-16,0-0,Anderson (IN),Mens Soccer
Scott Fridley,.344,2006-07,5-10-1,Anderson (IN),Womens Soccer
Scott Fridley,.263,2007-08,4-13-2,Anderson (IN),Womens Soccer
Scott Fridley,.300,2008-09,6-14,Anderson (IN),Womens Soccer
Scott Fridley,.158,2009-10,2-15-2,Anderson (IN),Womens Soccer
Marci Scheuing,.357,2009-10,5-9,Cedar Crest,Womens Lacrosse
Chad Gfeller,.433,2012-13,6-8-1,North Greenville,Mens Soccer
Greg Debeljak,.900,2011-12,9-1,CWRU,Football
Chris Robertson,.250,2004-05,8-24,WPI,Baseball
Chris Robertson,.500,2003-04,16-16,WPI,Baseball
Chris Robertson,.355,2002-03,11-20,WPI,Baseball
Chris Robertson,.367,2001-02,11-19,WPI,Baseball
Chris Robertson,.419,2000-01,13-18,WPI,Baseball
Andrew Pauly,.000,2015-16,0-0,Ferrum,Mens Soccer
Andrew Pauly,.263,2014-15,4-13-2,Ferrum,Mens Soccer
Andrew Pauly,.600,2013-14,12-8,Ferrum,Mens Soccer
Andrew Pauly,.447,2012-13,7-9-3,Ferrum,Mens Soccer
Andrew Pauly,.237,2011-12,3-13-3,Ferrum,Mens Soccer
Shaun Mahoney,.447,2011-12,8-10-1,Franklin,Mens Soccer
Mike Jones,.697,1992-93,23-10,Texas Tech,Womens Volleyball
Nick Papanicolas,.526,2011-12,8-7-4,Wilmington (DE),Mens Soccer
David Hoffmann,.353,2012-13,5-10-2,Dallas,Mens Soccer
Todd Bramble,.575,2014-15,10-7-3,Alabama,Womens Soccer
Mike Jones,.812,1991-92,26-6,Texas Tech,Womens Volleyball
Bridget Yates,.621,2013-14,18-11,Spalding,Womens Volleyball
Lauryn Pehanich,.000,2015-16,0-0,La Verne,Womens Soccer
Neil Jones,.368,2013-14,6-11-2,Loyola Chicago,Mens Soccer
Lauryn Pehanich,.475,2013-14,9-10-1,La Verne,Womens Soccer
Lauryn Pehanich,.417,2014-15,7-10-1,La Verne,Womens Soccer
Taskin Guven,.250,2014-15,4-12,Anna Maria,Mens Soccer
Taskin Guven,.000,2015-16,0-0,Anna Maria,Mens Soccer
Taskin Guven,.211,2011-12,3-14-2,Becker,Mens Soccer
Taskin Guven,.233,2013-14,3-11-1,Anna Maria,Mens Soccer
Al Golden,.000,2015-16,0-0,Miami (FL),Football
Taskin Guven,.579,2010-11,10-7-2,Becker,Mens Soccer
Troy Calhoun,.462,2012-13,6-7,Air Force,Football
Nick Papanicolas,.667,2013-14,13-6-2,Wilmington (DE),Mens Soccer
Marc Reeves,.550,2013-14,9-7-4,Radford,Mens Soccer
Linus Rhode,.000,2015-16,0-0,Oregon St.,Womens Soccer
Marc Reeves,.675,2014-15,12-5-3,Radford,Mens Soccer
Mike Conway,.200,2014-15,2-8,North Park,Football
Derek Leader,.000,2015-16,0-0,Georgia St.,Womens Soccer
Mike Strano,.645,2011-12,20-11,Mt. St. Mary (NY),Womens Volleyball
Derek Leader,.382,2013-14,6-10-1,Georgia St.,Womens Soccer
Derek Leader,.400,2014-15,6-10-4,Georgia St.,Womens Soccer
Mike Strano,.541,2014-15,20-17,Mt. St. Mary (NY),Womens Volleyball
Mike Strano,.000,2015-16,0-0,Mt. St. Mary (NY),Womens Volleyball
Mike Strano,.657,2012-13,23-12,Mt. St. Mary (NY),Womens Volleyball
Mike Strano,.459,2013-14,17-20,Mt. St. Mary (NY),Womens Volleyball
Kacey Bingham,.500,2013-14,7-7-2,Dixie St.,Womens Soccer
Kacey Bingham,.583,2014-15,10-7-1,Dixie St.,Womens Soccer
Andy Hoggarth,.611,2014-15,11-7,Slippery Rock,Mens Soccer
Brent Holsclaw,.636,2014-15,7-4,Ky. Wesleyan,Football
Brent Holsclaw,.000,2013-14,0-11,Ky. Wesleyan,Football
Brent Holsclaw,.182,2012-13,2-9,Ky. Wesleyan,Football
Brent Holsclaw,.091,2011-12,1-10,Ky. Wesleyan,Football
Andrew Palileo,.000,2015-16,0-0,North Texas,Womens Volleyball
Andrew Palileo,.688,2014-15,22-10,North Texas,Womens Volleyball
Andrew Palileo,.531,2013-14,17-15,North Texas,Womens Volleyball
Andrew Palileo,.214,2010-11,6-22,Washington St.,Womens Volleyball
Ryan Swan,.000,2015-16,0-0,Drury,Mens Soccer
Mike Conway,.300,2013-14,3-7,North Park,Football
Jake Bluhm,.647,2011-12,22-12,SUNY Poly,Womens Volleyball
Brent Holsclaw,.000,2015-16,0-0,Ky. Wesleyan,Football
Paul Lawrence,.000,2015-16,0-0,Knox,Womens Soccer
Richard Gary,.050,2011-12,1-19,Wells,Mens Volleyball
Paul Lawrence,.176,2014-15,3-14,Knox,Womens Soccer
Paul Stumpf,.400,2011-12,7-11-2,UC Santa Barbara,Womens Soccer
Paul Stumpf,.316,2012-13,5-12-2,UC Santa Barbara,Womens Soccer
Perry Nizzi,.000,2015-16,0-0,Hamilton,Mens Soccer
Mike Conway,.600,1999-00,6-4,Olivet Nazarene,Football
Bob Chesney,.000,2015-16,0-0,Assumption,Football
Michelyne Pinard,.690,2011-12,13-5-3,Williams,Womens Soccer
Michelyne Pinard,.737,2012-13,13-4-2,Williams,Womens Soccer
Michelyne Pinard,.750,2013-14,14-4-2,Williams,Womens Soccer
Michelyne Pinard,.917,2014-15,21-1-2,Williams,Womens Soccer
Michelyne Pinard,.000,2015-16,0-0,Williams,Womens Soccer
Michelyne Pinard,.558,2005-06,14-11-,Williams,Womens Ice Hockey
Mike Leonard,.488,2013-14,20-21,Bates,Baseball
Mike Leonard,.528,2012-13,19-17,Bates,Baseball
Mike Leonard,.727,2014-15,8-3,Franklin,Football
Mike Leonard,.459,2014-15,17-20,Bates,Baseball
Waverly Tillar,.667,2012-13,8-4,Elizabeth City St.,Football
Mike Leonard,.000,2015-16,0-0,Franklin,Football
Waverly Tillar,.400,2014-15,4-6,Elizabeth City St.,Football
Waverly Tillar,.400,2013-14,4-6,Elizabeth City St.,Football
Brook Good,.810,2012-13,17-4,Messiah,Field Hockey
Waverly Tillar,.000,2015-16,0-0,Elizabeth City St.,Football
Brian Kelly,.500,2014-15,6-6,Whittier,Mens Lacrosse
Brian Kelly,.667,2013-14,8-4,Whittier,Mens Lacrosse
Chris Yeager,.500,2012-13,7-7-4,Lynchburg,Mens Soccer
Chris Yeager,.632,2013-14,11-6-2,Lynchburg,Mens Soccer
Dennis Miller,.600,2011-12,6-4,Wis. Lutheran,Football
Dennis Miller,.700,2012-13,7-3,Wis. Lutheran,Football
Mike Conway,.786,1998-99,11-3,Olivet Nazarene,Football
Dennis Miller,.050,2001-02,1-28-1,Vermont,Womens Ice Hockey
Dennis Miller,.133,2002-03,3-25-2,Vermont,Womens Ice Hockey
Tim Barrera,.524,2014-15,10-9-2,Northern Colo.,Womens Soccer
Tim Barrera,.000,2015-16,0-0,Northern Colo.,Womens Soccer
Dennis Miller,.118,2005-06,3-29-2,Vermont,Womens Ice Hockey
Dennis Miller,.600,2010-11,6-4,Wis. Lutheran,Football
Dennis Miller,.221,2003-04,6-25-3,Vermont,Womens Ice Hockey
Dennis Miller,.191,2004-05,5-26-3,Vermont,Womens Ice Hockey
Brooke Turner,.000,2015-16,0-0,Wash. & Jeff.,Womens Volleyball
Brooke Turner,.538,2014-15,14-12,Wash. & Jeff.,Womens Volleyball
Chris Petersen,.667,2013-14,8-4,Boise St.,Football
Chris Petersen,.846,2012-13,11-2,Boise St.,Football
Chris Petersen,.000,2015-16,0-0,Washington,Football
Chris Petersen,.571,2014-15,8-6,Washington,Football
Derek Pittman,.278,2008-09,4-12-2,Arkansas St.,Womens Soccer
Derek Pittman,.222,2007-08,3-13-2,Arkansas St.,Womens Soccer
Derek Pittman,.250,2014-15,4-14-2,Idaho,Womens Soccer
Derek Pittman,.452,2009-10,8-10-3,Arkansas St.,Womens Soccer
Mike Conway,.458,1992-93,11-13,Wash. & Jeff.,Baseball
Kenny Murphy,.600,2013-14,8-5-2,Connecticut Col.,Mens Soccer
Andrew Rondeau,.091,2014-15,1-10,Pace,Football
Kenny Murphy,.533,2012-13,5-4-6,Connecticut Col.,Mens Soccer
David Day,.583,2011-12,10-7-1,La Roche,Mens Soccer
Kurt Anderson,.763,2013-14,14-4-1,St. Olaf,Mens Soccer
Jim Harbaugh,.417,2008-09,5-7,Stanford,Football
Mike Conway,.808,1991-92,21-5,Wash. & Jeff.,Baseball
Kurt Anderson,.684,2014-15,12-5-2,St. Olaf,Mens Soccer
Kurt Anderson,.795,2011-12,17-4-1,St. Olaf,Mens Soccer
Kurt Anderson,.639,2012-13,11-6-1,St. Olaf,Mens Soccer
Erick Baumann,.682,2014-15,14-6-2,Dominican (IL),Mens Soccer
Erick Baumann,.684,2013-14,12-5-2,Dominican (IL),Mens Soccer
Erick Baumann,.841,2012-13,18-3-1,Dominican (IL),Mens Soccer
Erick Baumann,.864,2011-12,19-3,Dominican (IL),Mens Soccer
Hugh Freeze,.615,2013-14,8-5,Ole Miss,Football
Hugh Freeze,.538,2012-13,7-6,Ole Miss,Football
Hugh Freeze,.833,2011-12,10-2,Arkansas St.,Football
Erick Baumann,.000,2015-16,0-0,Dominican (IL),Mens Soccer
Mike Cannon,.700,2014-15,13-5-2,Truman,Womens Soccer
Mike Cannon,.667,2013-14,12-5-4,Truman,Womens Soccer
Hugh Freeze,.000,2015-16,0-0,Ole Miss,Football
Hugh Freeze,.692,2014-15,9-4,Ole Miss,Football
Chris Petrucelli,.548,2011-12,11-9-1,Texas,Womens Soccer
Mary Tom,.000,2015-16,0-0,Lasell,Womens Volleyball
Rob King,.471,2011-12,7-8-2,Kennesaw St.,Womens Soccer
Jessica Kischko,.000,2015-16,0-0,Castleton,Field Hockey
Rob King,.553,2012-13,10-8-1,Kennesaw St.,Womens Soccer
Patrick Etherton,.000,2015-16,0-0,Millikin,Football
Skip Holtz,.417,2011-12,5-7,South Fla.,Football
Skip Holtz,.250,2012-13,3-9,South Fla.,Football
Skip Holtz,.333,2013-14,4-8,Louisiana Tech,Football
Keith Otterbein,.636,2012-13,7-4,Hillsdale,Football
Keith Otterbein,.727,2011-12,8-3,Hillsdale,Football
Jill Hirschinger,.333,2011-12,10-20,New Hampshire,Womens Volleyball
Jill Hirschinger,.517,2012-13,15-14,New Hampshire,Womens Volleyball
Duke Cochran,.472,2013-14,7-8-3,Truman,Mens Soccer
Duke Cochran,.618,2012-13,10-6-1,Truman,Mens Soccer
Duke Cochran,.000,2015-16,0-0,Truman,Mens Soccer
Duke Cochran,.324,2014-15,5-11-1,Truman,Mens Soccer
Steve Ancheta,.444,2014-15,6-8-4,Western Ore.,Womens Soccer
Steve Ancheta,.632,2013-14,9-4-6,Western Ore.,Womens Soccer
Duke Cochran,.235,2011-12,4-13,Truman,Mens Soccer
Steve Ancheta,.000,2015-16,0-0,Western Ore.,Womens Soccer
Becky Burleigh,.771,2013-14,18-5-1,Florida,Womens Soccer
Mike Hallett,.800,2014-15,8-2,Heidelberg,Football
Becky Burleigh,.680,2011-12,17-8,Florida,Womens Soccer
Becky Burleigh,.780,2012-13,19-5-1,Florida,Womens Soccer
Jeff Pedersen,.300,2014-15,3-7,Grinnell,Football
Kurt Anderson,.667,2002-03,10-4-4,St. Olaf,Womens Soccer
Jeff Pedersen,.200,2012-13,2-8,Grinnell,Football
Rob King,.594,1998-99,9-6-1,Montevallo,Mens Soccer
Kenny Murphy,.441,2014-15,7-9-1,Connecticut Col.,Mens Soccer
Becky Burleigh,.000,2015-16,0-0,Florida,Womens Soccer
Pat Fitzgerald,.462,2011-12,6-7,Northwestern,Football
Gail Murphy,.000,2015-16,0-0,Denison,Womens Soccer
Gail Murphy,.684,2014-15,13-6,Denison,Womens Soccer
Kaitlyn Wahila,.412,2014-15,7-10,Susquehanna,Field Hockey
Kaitlyn Wahila,.000,2015-16,0-0,Susquehanna,Field Hockey
Richie Grant,.528,2012-13,8-7-3,Memphis,Mens Soccer
Raenee Savin,.955,2013-14,21-1,LIU Post,Field Hockey
Richie Grant,.568,2014-15,10-7-5,CSU Bakersfield,Mens Soccer
Richie Grant,.528,2013-14,9-8-1,Memphis,Mens Soccer
Gail Murphy,.528,2011-12,8-7-3,Denison,Womens Soccer
Richie Grant,.000,2015-16,0-0,CSU Bakersfield,Mens Soccer
Gail Murphy,.553,2013-14,9-7-3,Denison,Womens Soccer
Gail Murphy,.368,2012-13,6-11-2,Denison,Womens Soccer
Kevin Anderson,.705,2011-12,31-13,Shenandoah,Baseball
Cora Thompson,.500,2012-13,13-13,Tufts,Womens Volleyball
Gail Mann,.600,2012-13,9-5-6,Nazareth,Womens Soccer
Jon Leamy,.000,2015-16,0-0,Missouri St.,Mens Soccer
Cheryl Ish,.300,1997-98,3-7,Kings (PA),Womens Lacrosse
Cheryl Ish,.100,1996-97,1-9,Kings (PA),Womens Lacrosse
Justin Maullin,.474,2013-14,8-9-2,UNCG,Mens Soccer
Jack Cosgrove,.455,2014-15,5-6,Maine,Football
Jack Cosgrove,.455,2012-13,5-6,Maine,Football
Cheryl Ish,.667,2011-12,12-6,Kings (PA),Field Hockey
Jack Cosgrove,.000,2015-16,0-0,Maine,Football
Cheryl Ish,.500,2013-14,8-8,Kings (PA),Field Hockey
Cheryl Ish,.650,2012-13,13-7,Kings (PA),Field Hockey
Cheryl Ish,.000,2015-16,0-0,Kings (PA),Field Hockey
Cheryl Ish,.444,2014-15,8-10,Kings (PA),Field Hockey
Curt Cignetti,.818,2013-14,9-2,Indiana (PA),Football
Curt Cignetti,.700,2011-12,7-3,Indiana (PA),Football
Erin Appleman,.000,2015-16,0-0,Yale,Womens Volleyball
Erin Appleman,.692,2014-15,18-8,Yale,Womens Volleyball
Marc Eberle,.000,2013-14,0-28,Chatham,Womens Volleyball
Marc Eberle,.000,2012-13,0-29,Chatham,Womens Volleyball
Curt Cignetti,.000,2015-16,0-0,Indiana (PA),Football
Curt Cignetti,.545,2014-15,6-5,Indiana (PA),Football
Marc Eberle,.000,2015-16,0-0,Chatham,Womens Volleyball
Marc Eberle,.000,2014-15,0-27,Chatham,Womens Volleyball
Chad Martinovich,.667,2013-14,6-3,MIT,Football
Jeremy Iwaszkowiec,.583,2011-12,9-6-3,Bethel (MN),Mens Soccer
Amy Hendrichovsky,.433,2012-13,13-17,South Ala.,Womens Volleyball
Lindy Mortensen,.500,2014-15,14-14,Adams St.,Womens Volleyball
Paul McGinlay,.833,2011-12,14-2-2,Trinity (TX),Mens Soccer
Edric Poitier,.862,2003-04,25-4,Saint Augustines,Womens Volleyball
Lindy Mortensen,.000,2015-16,0-0,Adams St.,Womens Volleyball
Gayle Wilson,.464,2012-13,6-7-1,Marymount (VA),Womens Soccer
Gayle Wilson,.312,2013-14,5-11,Marymount (VA),Womens Soccer
Ian Shields,.000,2015-16,0-0,Lenoir-Rhyne,Football
Gayle Wilson,.344,2011-12,5-10-1,Marymount (VA),Womens Soccer
Brian Gimmillaro,.767,2011-12,23-7,Long Beach St.,Womens Volleyball
Brian Gimmillaro,.621,2012-13,18-11,Long Beach St.,Womens Volleyball
Gayle Wilson,.088,2014-15,1-15-1,Marymount (VA),Womens Soccer
Gayle Wilson,.000,2015-16,0-0,Marymount (VA),Womens Soccer
Dan Hunt,.417,2014-15,5-7,Colgate,Football
Brian Gimmillaro,.621,2013-14,18-11,Long Beach St.,Womens Volleyball
Brian Gimmillaro,.844,2014-15,27-5,Long Beach St.,Womens Volleyball
Bob Schneck,.000,2015-16,0-0,Rhode Island,Womens Volleyball
Chris Parsons,.639,2014-15,10-5-3,Thomas (ME),Mens Soccer
Cory Phelps,.267,2013-14,8-22,St. Catherine,Womens Volleyball
Chris Smith,.500,2013-14,5-5,Grove City,Football
Dewey Lusk,.455,2011-12,5-6,UVa-Wise,Football
Chris Smith,.000,2015-16,0-0,Grove City,Football
Chris Smith,.382,2011-12,6-10-1,Mercy,Mens Soccer
Chris Smith,.726,1989-90,45-17,Loyola Marymount,Baseball
Chris Smith,.633,1990-91,38-22,Loyola Marymount,Baseball
Chris Smith,.300,2011-12,3-7,Grove City,Football
Dewey Lusk,.273,2012-13,3-8,UVa-Wise,Football
Rob Czlonka,.690,2012-13,13-5-3,Northeastern St.,Mens Soccer
Chris Smith,.639,2012-13,10-5-3,Mercy,Mens Soccer
Dewey Lusk,.182,2013-14,2-9,UVa-Wise,Football
Rob Czlonka,.583,2011-12,9-6-3,Northeastern St.,Mens Soccer
Matt Potter,.000,2015-16,0-0,Oklahoma,Womens Soccer
Christy Benner,.900,2011-12,36-4,Wheeling Jesuit,Womens Volleyball
Christy Benner,.927,2012-13,38-3,Wheeling Jesuit,Womens Volleyball
Christy Benner,.864,2013-14,38-6,Wheeling Jesuit,Womens Volleyball
Matt Potter,.609,2011-12,12-7-4,Washington St.,Womens Soccer
Matt Potter,.450,2012-13,7-9-4,Oklahoma,Womens Soccer
Matt Potter,.250,2013-14,4-13-1,Oklahoma,Womens Soccer
Matt Potter,.522,2014-15,10-9-4,Oklahoma,Womens Soccer
Dewey Lusk,.000,2015-16,0-0,UVa-Wise,Football
Chris Parsons,.722,1991-92,13-5,Drew,Softball
Christy Benner,.905,2014-15,38-4,Wheeling Jesuit,Womens Volleyball
Christy Benner,.000,2015-16,0-0,Wheeling Jesuit,Womens Volleyball
Jason Hirsch,.789,2013-14,12-1-6,Texas-Dallas,Mens Soccer
Nick Morrison,.118,2013-14,2-15,Schreiner,Womens Soccer
Reginald Isley,.393,2012-13,11-17,Livingstone,Softball
Jason Hirsch,.000,2015-16,0-0,Texas-Dallas,Mens Soccer
Rob Czlonka,.810,2014-15,16-3-2,Northeastern St.,Mens Soccer
Rob Czlonka,.706,2013-14,10-3-4,Northeastern St.,Mens Soccer
Graham Kennett,.000,2015-16,0-0,Manhattanville,Womens Soccer
Charlie Inverso,.206,2012-13,3-13-1,Rider,Mens Soccer
Mark Misiak,.278,2011-12,4-12-2,SUNY Potsdam,Womens Soccer
Monica Wright,.533,2014-15,16-14,Otterbein,Womens Volleyball
Monica Wright,.771,2013-14,27-8,Otterbein,Womens Volleyball
Heather Henson,.500,2014-15,7-7-4,Belmont,Womens Soccer
Heather Henson,.000,2015-16,0-0,Belmont,Womens Soccer
Susan Grant,.000,2015-16,0-0,Coast Guard,Womens Soccer
Colby Magnum,.219,2014-15,7-25,Mount Olive,Womens Volleyball
Susan Grant,.368,2013-14,6-11-2,Coast Guard,Womens Soccer
Susan Grant,.474,2014-15,8-9-2,Coast Guard,Womens Soccer
Catherine Geerlings,.000,2015-16,0-0,Agnes Scott,Womens Volleyball
Catherine Geerlings,.346,2014-15,9-17,Agnes Scott,Womens Volleyball
Giusseppe Pennetti,.550,2013-14,11-9,Mt. St. Vincent,Womens Soccer
Giusseppe Pennetti,.500,2012-13,8-8,Mt. St. Vincent,Womens Soccer
Giusseppe Pennetti,.000,2015-16,0-0,Staten Island,Womens Soccer
Giusseppe Pennetti,.750,2014-15,13-4-1,Mt. St. Vincent,Womens Soccer
Monica Wright,.765,2012-13,26-8,Otterbein,Womens Volleyball
Monica Wright,.806,2011-12,25-6,Otterbein,Womens Volleyball
Craig Skinner,.818,2014-15,27-6,Kentucky,Womens Volleyball
Charlie Inverso,.472,2013-14,8-9-1,Rider,Mens Soccer
Craig Skinner,.824,2011-12,28-6,Kentucky,Womens Volleyball
Craig Skinner,.667,2012-13,22-11,Kentucky,Womens Volleyball
Matt McShane,.300,2012-13,9-21,Air Force,Womens Volleyball
Matt McShane,.100,2011-12,3-27,Air Force,Womens Volleyball
John Auer,.000,2015-16,0-0,Crown (MN),Football
John Auer,.400,2014-15,4-6,Crown (MN),Football
John Gibson,.762,2011-12,15-4-2,Springfield,Womens Soccer
Matt McShane,.000,2015-16,0-0,Air Force,Womens Volleyball
Matt McShane,.406,2014-15,13-19,Air Force,Womens Volleyball
Matt McShane,.250,2013-14,8-24,Air Force,Womens Volleyball
John Gibson,.682,2013-14,13-5-4,Springfield,Womens Soccer
John Gibson,.700,2012-13,13-5-2,Springfield,Womens Soccer
Adam Boyer,.000,2015-16,0-0,Spalding,Mens Soccer
Edgar Miraku,.419,2012-13,13-18,Central Okla.,Womens Volleyball
Edgar Miraku,.706,2013-14,24-10,Central Okla.,Womens Volleyball
Edgar Miraku,.839,2014-15,26-5,Central Okla.,Womens Volleyball
Scott Westering,.667,2011-12,6-3,Pacific Lutheran,Football
Chris Waterbury,.500,2014-15,9-9-1,Plattsburgh St.,Mens Soccer
Misty Jones,.575,2012-13,10-7-3,Houston Baptist,Womens Soccer
Misty Jones,.316,2013-14,5-12-2,Houston Baptist,Womens Soccer
Misty Jones,.568,2014-15,10-7-5,Houston Baptist,Womens Soccer
Misty Jones,.000,2015-16,0-0,Houston Baptist,Womens Soccer
Mike Joy,.579,2011-12,10-7-2,Tusculum,Womens Soccer
Mike Joy,.750,2012-13,12-3-3,Tusculum,Womens Soccer
Mike Drass,.857,2014-15,12-2,Wesley,Football
Kyetta May,.561,2011-12,23-18,Kentucky St.,Womens Volleyball
Mike Drass,.000,2015-16,0-0,Wesley,Football
Mike Getman,.550,2012-13,10-8-2,UAB,Mens Soccer
Lyndsay Mashe,.333,2011-12,10-20,East Tex. Baptist,Womens Volleyball
Beth Hallenbeck,.733,2001-02,11-4,Skidmore,Womens Lacrosse
Sam Schroeder,.139,2014-15,2-15-1,Ripon,Mens Soccer
Sam Schroeder,.167,2013-14,3-15,Ripon,Mens Soccer
Sam Schroeder,.611,2012-13,10-6-2,Ripon,Womens Soccer
Sam Schroeder,.417,2011-12,7-10-1,Ripon,Womens Soccer
Molly Wilkie,.385,2014-15,5-8,Me.-Farmington,Womens Lacrosse
Molly Wilkie,.357,2013-14,5-9,Me.-Farmington,Womens Lacrosse
Sam Schroeder,.361,2012-13,6-11-1,Ripon,Mens Soccer
Sam Schroeder,.000,2011-12,0-5,Ripon,Mens Soccer
Sam Schroeder,.650,2014-15,13-7,Ripon,Womens Soccer
Sam Schroeder,.583,2013-14,10-7-1,Ripon,Womens Soccer
Chris Taylor,.300,2004-05,3-7,Saint Peters,Football
Chris Taylor,.658,2010-11,25-13,Newbury,Mens Volleyball
Chris Taylor,.200,2006-07,2-8,Saint Peters,Football
Chris Taylor,.100,2005-06,1-9,Saint Peters,Football
Chris Taylor,.000,2015-16,0-0,Clarkson,Mens Soccer
Chris Taylor,.417,2014-15,7-10-1,Clarkson,Mens Soccer
Chris Taylor,.455,2011-12,15-18,Newbury,Womens Volleyball
Corbin Sutton,.222,2012-13,3-13-2,Shenandoah,Mens Soccer
Art Briles,.615,2012-13,8-5,Baylor,Football
Chris Taylor,.000,2007-08,0-0,Saint Peters,Football
Brian Purcell,.500,2013-14,9-9,Presbyterian,Womens Soccer
Corbin Sutton,.306,2014-15,5-12-1,Shenandoah,Mens Soccer
Einar Thorarinsson,.237,2012-13,4-14-1,Gonzaga,Mens Soccer
Joe Vari,.725,2013-14,14-5-1,Rhodes,Womens Soccer
Vilis Ozols,.000,2015-16,0-0,Niagara,Womens Volleyball
Vilis Ozols,.438,2014-15,14-18,Niagara,Womens Volleyball
Quiona Boffman,.000,2015-16,0-0,Central St. (OH),Womens Volleyball
Quiona Boffman,.000,2014-15,0-15,Central St. (OH),Womens Volleyball
Rick Nussbaum,.125,2012-13,2-14,Bluffton,Mens Soccer
Rick Nussbaum,.111,2011-12,2-16,Bluffton,Mens Soccer
Rick Nussbaum,.316,2014-15,6-13,Bluffton,Mens Soccer
George Kuntz,.717,2013-14,15-5-3,UC Irvine,Mens Soccer
Rick Nussbaum,.444,2010-11,7-9-2,Bluffton,Womens Soccer
Rick Nussbaum,.000,2015-16,0-0,Bluffton,Mens Soccer
Mike Kelly,.364,1999-00,4-7,Valdosta St.,Football
Tom Saxton,.526,2013-14,9-8-2,Michigan St.,Womens Soccer
Mike Kelly,.545,1997-98,6-5,Valdosta St.,Football
Harold Warren,.105,2012-13,2-17,UAB,Womens Soccer
Harold Warren,.600,2013-14,11-7-2,UAB,Womens Soccer
Mike Kelly,.917,2007-08,11-1,Dayton,Football
Bill Bonewitz,.475,2012-13,8-9-3,Alvernia,Womens Soccer
Bill Bonewitz,.571,2013-14,11-8-2,Alvernia,Womens Soccer
Bill Bonewitz,.300,2014-15,6-14,Alvernia,Womens Soccer
Bill Bonewitz,.000,2015-16,0-0,Alvernia,Womens Soccer
Curtis Johnson,.286,1989-90,6-15,Lycoming,Softball
Curtis Johnson,.167,2012-13,2-10,Tulane,Football
Curtis Johnson,.538,2013-14,7-6,Tulane,Football
Curtis Johnson,.250,2014-15,3-9,Tulane,Football
Curtis Johnson,.000,2015-16,0-0,Tulane,Football
